13's  Division,,PLQ,L1,L1,L1,L2,L2,L2,L3,L3,L3,Region,Region,Region,Season
,,Place,Place,Division,Points,Place,Division,Points,Place,Division,Points,Place,Division,Points,Total
1,SF Tremors Wolverines13-1,1,1,Gold,300,1,Gold,450,1,Gold,600,3,Gold,891,2241.00
2,Rage 13-Aven,10,9,Gold,291,5,Gold,441.75,4,Gold,592,1,Gold,900,2224.75
3,Red Rock 13-1,7,2,Gold,298,2,Gold,447,3,Gold,594,9,Gold,873,2212.00
4,Vision 13 Gold,9,10,Gold,290,14,Silver,427.5,2,Gold,596,2,Gold,894,2207.50
5,Absolute Black 13-1,5,3,Gold,297,8,Gold,438.75,10,Gold,580,4,Gold,888,2203.75
6,NorCal Black 13-1,15,15,Silver,284,4,Gold,444,5,Gold,589,6,Gold,883.5,2200.50
7,SF JRS RoShamBo 13-1,8,5,Gold,294.5,6,Gold,441.75,7,Gold,585,8,Gold,877.5,2198.75
8,SF Tremors Mustangs 13-2,14,13,Silver,287,7,Gold,438.75,6,Gold,589,5,Gold,883.5,2198.25
9,Encore Navy 13-1,13,14,Silver,285,3,Gold,445.5,9,Gold,582,7,Gold,877.5,2190.00
10,Club Solano Voltage 13-1,12,8,Gold,292.5,9,Gold,436.5,8,Gold,585,10,Gold,870,2184.00
11,City Beach Black 13-1,11,7,Gold,292.5,12,Gold,432,15,Silver,568,11,Gold,867,2159.50
12,NCVC Asics 13-1,4,12,Gold,288,13,Silver,430.5,11,Gold,578,13,Silver,861,2157.50
13,650 Xtreme Red 13-1,6,4,Gold,296,11,Gold,433.5,14,Silver,570,14,Silver,855,2154.50
14,SF Tremors Falcons 13-3,3,11,Gold,289,18,Silver,422.25,16,Silver,566,16,Silver,849,2126.25
15,PRVA Surf 13-1,22,19,Silver,279.5,15,Silver,426,12,Gold,576,18,Silver,844.5,2126.00
16,Beach Vibes Marlins 13-1,2,6,Gold,294.5,10,Gold,435,13,Silver,574,25,Bronze,822,2125.50
17,Central VBC Gold 13-1,21,17,Silver,281.5,19,Silver,419.25,18,Silver,563,17,Silver,844.5,2108.25
18,SF JRS Black  13-2,27,26,Bronze,272,16,Silver,424.5,17,Silver,563,22,Silver,831,2090.50
19,Marin Jrs Black 13-1,16,21,Silver,278,23,Silver,414,29,Bronze,537,15,Silver,852,2081.00
20,Stingray Black 13-1,35,27,Bronze,271,20,Silver,419.25,22,Silver,554,21,Silver,834,2078.25
21,Polaris 13's Power,23,16,Silver,283,21,Silver,417,20,Silver,559,26,Bronze,816,2075.00
22,Red Rock 13-2,17,18,Silver,281.5,22,Silver,415.5,28,Bronze,540,24,Silver,825,2062.00
23,Xceleration Blue 13-1,29,29,Bronze,268.5,26,Bronze,408,21,Silver,556,23,Silver,828,2060.50
24,Vision 13 Blue,19,23,Silver,276,30,Bronze,402.75,30,Bronze,537,20,Silver,838.5,2054.25
25,Gold Cal Jrs Air 13-1,44,37,Aqua,261,28,Bronze,405,27,Bronze,542,19,Silver,838.5,2046.50
26,Turlock Crush 13-1,24,20,Silver,279.5,17,Silver,422.25,23,Silver,552,35,Bronze,789,2042.75
27,Kamikaze 13-1,28,33,Bronze,265,27,Bronze,406.5,19,Silver,559,29,Bronze,805.5,2036.00
28,Five Starz 13-1,36,30,Bronze,268.5,25,Bronze,411,24,Silver,550,31,Bronze,799.5,2029.00
29,Vibe Tsunami 13's,18,22,Silver,277,33,Bronze,397.5,25,Bronze,548,30,Bronze,805.5,2028.00
30,SynergyForce 13 Gold,20,24,Silver,275,31,Bronze,399.75,31,Bronze,533,28,Bronze,810,2017.75
31,650 Xtreme Navy 13-2,33,25,Bronze,274,24,Silver,412.5,33,Bronze,530,32,Bronze,799.5,2016.00
32,Frisco Bay 13-1,51,49,Blue,248,43,Aqua,380.25,39,Aqua,516,12,Gold,864,2008.25
33,Vibe Impact 13's,43,44,Aqua,253.5,38,Aqua,388.5,26,Bronze,544,27,Bronze,813,1999.00
34,NorCal Blue 13-2,25,32,Bronze,266.5,32,Bronze,399.75,36,Bronze,524,37,Aqua,783,1973.25
35,Academy 13 Gold,31,31,Bronze,266.5,36,Bronze,393,38,Aqua,518,33,Bronze,795,1972.50
36,Marin Jrs Green 13-2,49,51,Blue,245,39,Aqua,387,32,Bronze,533,34,Bronze,792,1957.00
37,Aspire Black 13-1,26,28,Bronze,270,35,Bronze,394.5,44,Aqua,507,38,Aqua,777,1948.50
38,Vacaville Extreme 13-1,38,45,Aqua,252,45,Aqua,378,37,Aqua,522,36,Bronze,786,1938.00
39,Pacific Coast Krystl 13-1,39,40,Aqua,257,37,Aqua,391.5,35,Bronze,526,48,Aqua,747,1921.50
40,Soljahs 13-1,37,39,Aqua,258,29,Bronze,402.75,34,Bronze,528,57,Blue,717,1905.75
41,Vertical X-treme 13-1,30,36,Bronze,262,41,Aqua,383.25,48,Aqua,498,43,Aqua,760.5,1903.75
42,Chico Matrix 13-1,32,35,Bronze,263,48,Aqua,373.5,49,Blue,496,41,Aqua,766.5,1899.00
43,DTVC 13-1,48,42,Aqua,255.5,42,Aqua,383.25,46,Aqua,502,45,Aqua,756,1896.75
44,Delta Valley 13-1,40,47,Aqua,250,49,Blue,372,45,Aqua,504,42,Aqua,766.5,1892.50
45,Club Solano Heat 13-2,46,43,Aqua,253.5,40,Aqua,385.5,41,Aqua,511,51,Blue,735,1885.00
46,Spark Juan 13-1,34,34,Bronze,264,46,Aqua,376.5,51,Blue,490,46,Aqua,753,1883.50
47,Absolute Pink 13-2,54,50,Blue,246,44,Aqua,380.25,43,Aqua,507,49,Blue,744,1877.25
48,MVVC 13 Red 13-1,50,53,Blue,243,54,Blue,363,53,Blue,486,40,Aqua,771,1863.00
49,Nomar Navy 13-1,47,38,Aqua,259,34,Bronze,396,47,Aqua,500,61,Copper,705,1860.00
50,BeachVibes Hurricanes13-2,45,46,Aqua,251,52,Blue,366,50,Blue,492,47,Aqua,750,1859.00
51,Pulse Black 13-1,42,48,Aqua,249,51,Blue,367.5,42,Aqua,511,54,Blue,727.5,1855.00
52,Rage 13-Tony,52,55,Blue,241,58,Copper,352.5,54,Blue,484,44,Aqua,760.5,1838.00
53,City Beach Green 13-2,41,41,Aqua,255.5,47,Aqua,375,56,Blue,480,56,Blue,721.5,1832.00
54,Encore Red 13-2,53,54,Blue,242,57,Blue,358.5,58,Copper,470,50,Blue,738,1808.50
55,Twisters 13-1,55,57,Blue,239,60,Copper,348,55,Blue,482,53,Blue,727.5,1796.50
56,SPVC Blue 13-1,56,52,Blue,244,55,Blue,361.5,59,Copper,466,58,Copper,714,1785.50
57,Diablo Black 13-1,57,56,Blue,240,59,Copper,349.5,52,Blue,488,59,Copper,711,1788.50
58,FPVC Gold 13-1,58,63,Copper,229,69,Dusk,348,69,Dusk,464,66,Dusk,688.5,1729.50
59,Empire Black 13-1,59,59,Copper,233,50,Blue,369,40,Aqua,514,39,Aqua,774,1890.00
60,Palo Alto Platinum 13-1,60,62,Copper,230,61,Copper,346.5,61,Copper,462,70,Dusk,675,1713.50
61,PAEVBC Red 13-1,61,61,Copper,231,65,Copper,340.5,67,Dusk,470,64,Copper,693,1734.50
62,EBVA 13-1,62,60,Copper,232,53,Blue,364.5,57,Blue,478,52,Blue,732,1806.50
