,age,team,code,city
Absolute Black 12‐1,12,Absolute Black 12‐1,fj2absol1nc,"San Rafael, CA"
SynergyForce 12 Gold,12,SynergyForce 12 Gold,fj2force1nc,"Sacramento, CA"
NorCal Black 12‐1,12,NorCal Black 12‐1,fj2norca1nc,"Pleasanton, CA"
Club Solano Thunder 12‐1,12,Club Solano Thunder 12‐1,fj2solno1nc,"Suisun, CA"
SF JRS RoShamBo 12‐1,12,SF JRS RoShamBo 12‐1,fj2sfjrs1nc,"San Francisco, CA"
Red Rock 12‐1,12,Red Rock 12‐1,fj2rrock1nc,"Redwood City, CA"
SF Tremors Wolverines12‐1,12,SF Tremors Wolverines12‐1,fj2sftrm1nc,"SAN FRANCISCO, C"
Vision 12 Gold,12,Vision 12 Gold,fj2vsion1nc,"Los Gatos, CA"
SF Tremors Mustangs 12‐2,12,SF Tremors Mustangs 12‐2,fj2sftrm2nc,"SAN FRANCISCO, C"
Frisco Bay 12‐1,12,Frisco Bay 12‐1,fj2frisc1nc,"San Francisco, CA"
650 Xtreme Red 12‐1,12,650 Xtreme Red 12‐1,fj2x650t1nc,"San Mateo, CA"
Vibe Rebels 12's,12,Vibe Rebels 12's,fj2vvibe1nc,"Danville, CA"
Encore Navy 12‐1,12,Encore Navy 12‐1,fj2encoe1nc,"Redwood City, CA"
Rage 12‐Fatima ,12,Rage 12‐Fatima ,fj2ripor1nc,"Ripon, CA"
Stingray Black 12‐1,12,Stingray Black 12‐1,fj2stray1nc,"San Jose, CA"
Slainte Black 12‐1,12,Slainte Black 12‐1,fj2slanb1nc,"San Francisco, CA"
Absolute Pink 12‐2,12,Absolute Pink 12‐2,fj2absol2nc,"San Rafael, CA"
Academy 12 Gold ,12,Academy 12 Gold ,fj2acdvp1nc,"PALO ALTO, CA"
City Beach Black 12‐1,12,City Beach Black 12‐1,fj2beach1nc,"Santa Clara, CA"
Soljahs 12‐1,12,Soljahs 12‐1,fj2solhs1nc,"SAN MATEO, CA"
Beach Vibes Dolphins 12‐1,12,Beach Vibes Dolphins 12‐1,fj2bevbs1nc,"Berkeley, CA"
Marin Jrs Black 12‐1,12,Marin Jrs Black 12‐1,fj2marin1nc,"San Rafael, CA"
Polaris 12's Power ,12,Polaris 12's Power ,fj2solvb1nc,"Redwood City , CA"
Vision 12 Blue,12,Vision 12 Blue,fj2vsion2nc,"Los Gatos, CA"
Aspire Black 12‐1,12,Aspire Black 12‐1,fj2folso1nc,"Folsom, CA"
Red Rock 12‐2,12,Red Rock 12‐2,fj2rrock2nc,"Redwood City, CA"
Turlock Crush 12‐1,12,Turlock Crush 12‐1,fj2turlo1nc,"Turlock, CA"
NorCal Blue 12‐2,12,NorCal Blue 12‐2,fj2norca2nc,"Pleasanton, CA"
Red Rock 11‐1,12,Red Rock 11‐1,fj1rrock1nc,"Redwood City, CA"
Vibe Fierce 12's,12,Vibe Fierce 12's,fj2vvibe3nc,"Danville, CA"
Absolute Black 11‐1,12,Absolute Black 11‐1,fj1absol1nc,"San Rafael, CA"
650 Xtreme Navy 12‐2,12,650 Xtreme Navy 12‐2,fj2x650t2nc,"San Mateo, CA"
Vibe Force 12's,12,Vibe Force 12's,fj2vvibe2nc,"Danville, CA"
Diablo Black 12‐1,12,Diablo Black 12‐1,fj2dvgvc1nc,"Concord, CA"
Club Solano Excel 12‐2,12,Club Solano Excel 12‐2,fj2solno2nc,"Suisun, CA"
Encore Red 12‐2,12,Encore Red 12‐2,fj2encoe2nc,"Redwood City, CA"
NorCal Blue 13‐2,13,NorCal Blue 13‐2,fj3norca2nc,"Pleasanton, CA"
Aspire Black 13‐1,13,Aspire Black 13‐1,fj3folso1nc,"Folsom, CA"
Empire Black 13‐1,13,Empire Black 13‐1,fj3mpire1nc,"Santa Rosa, CA"
MVVC 13 Red 13‐1,13,MVVC 13 Red 13‐1,fj3mouvi1nc,"Sunnyvale, CA"
Chico Matrix 13‐1,13,Chico Matrix 13‐1,fj3covcc1nc,"Chico, CA"
Delta Valley 13‐1,13,Delta Valley 13‐1,fj3delta1nc,"Stockton, CA"
Vertical X‐treme 13‐1,13,Vertical X‐treme 13‐1,fj3verxr1nc,"Fresno, CA"
Rage 13‐Tony,13,Rage 13‐Tony,fj3ripor2nc,"Ripon, CA"
DTVC 13‐1,13,DTVC 13‐1,fj3doutr1nc,"Oakdale, CA"
Spark Juan 13‐1,13,Spark Juan 13‐1,fj3spark1nc,"lodi, CA"
BeachVibes Hurricanes13‐2,13,BeachVibes Hurricanes13‐2,fj3bevbs2nc,"Berkeley, CA"
Pacific Coast Krystl 13‐1,13,Pacific Coast Krystl 13‐1,fj3pfcst1nc,"Escalon, CA"
Absolute Pink 13‐2,13,Absolute Pink 13‐2,fj3absol2nc,"San Rafael, CA"
Encore Red 13‐2,13,Encore Red 13‐2,fj3encoe2nc,"Redwood City, CA"
Club Solano Heat 13‐2,13,Club Solano Heat 13‐2,fj3solno2nc,"Suisun, CA"
EBVA 13‐1,13,EBVA 13‐1,fj3estby1nc,"Pleasanton, CA"
Twisters 13‐1,13,Twisters 13‐1,fj3twstr1nc,"Merced, CA"
Pulse Black 13‐1,13,Pulse Black 13‐1,fj3pulse1nc,"Ripon, CA"
Empire Gold 13‐2,13,Empire Gold 13‐2,fj3mpire2nc,"Santa Rosa, CA"
City Beach Green 13‐2,13,City Beach Green 13‐2,fj3beach2nc,"Santa Clara, CA"
Soljahs 13‐1,13,Soljahs 13‐1,fj3solhs1nc,"SAN MATEO, CA"
SPVC Blue 13‐1,13,SPVC Blue 13‐1,fj3spvcv1nc,"Sacramento, CA"
Diablo Black 13‐1,13,Diablo Black 13‐1,fj3dvgvc1nc,"Concord, CA"
PRVA Wave 13‐2,13,PRVA Wave 13‐2,fj3pacri2nc,"Pleasant Hill, CA"
Nomar Navy 13‐1,13,Nomar Navy 13‐1,fj3nomar1nc,"Novato, CA"
Club Prime 13 Scott,13,Club Prime 13 Scott,fj3prime1nc,"Galt, CA"
BAVC Power Black 13‐1,13,BAVC Power Black 13‐1,fj3bablv1nc,"Walnut Creek, CA"
PAEVBC Red 13‐1,13,PAEVBC Red 13‐1,fj3palel1nc,"Palo Alto, CA"
Chico Matrix 13‐2,13,Chico Matrix 13‐2,fj3covcc2nc,"Chico, CA"
FPVC Gold 13‐1,13,FPVC Gold 13‐1,fj3fpvcv1nc,"Elk Grove, CA"
Slainte Black 13‐1,13,Slainte Black 13‐1,fj3slanb1nc,"San Francisco, CA"
650 Xtreme White 13‐3,13,650 Xtreme White 13‐3,fj3x650t3nc,"San Mateo, CA"
Core Elite 13‐1,13,Core Elite 13‐1,fj3corev1nc,"Dublin, CA"
Palo Alto Platinum 13‐1,13,Palo Alto Platinum 13‐1,fj3palto1nc,"Palo Alto, CA"
Golden Bear Mizuno 13‐1,13,Golden Bear Mizuno 13‐1,fj3gbear1nc,"Vallejo, CA"
Rage 13‐Aven,13,Rage 13‐Aven,fj3ripor1nc,"Ripon, CA"
Vision 13 Gold,13,Vision 13 Gold,fj3vsion1nc,"Los Gatos, CA"
SF Tremors Wolverines13‐1,13,SF Tremors Wolverines13‐1,fj3sftrm1nc,"SAN FRANCISCO, CA"
Absolute Black 13‐1,13,Absolute Black 13‐1,fj3absol1nc,"San Rafael, CA"
SF Tremors Mustangs 13‐2,13,SF Tremors Mustangs 13‐2,fj3sftrm2nc,"SAN FRANCISCO, CA"
NorCal Black 13‐1,13,NorCal Black 13‐1,fj3norca1nc,"Pleasanton, CA"
Encore Navy 13‐1,13,Encore Navy 13‐1,fj3encoe1nc,"Redwood City, CA"
SF JRS RoShamBo 13‐1,13,SF JRS RoShamBo 13‐1,fj3sfjrs1nc,"San Francisco, CA"
Red Rock 13‐1,13,Red Rock 13‐1,fj3rrock1nc,"Redwood City, CA"
Club Solano Voltage 13‐1,13,Club Solano Voltage 13‐1,fj3solno1nc,"Suisun, CA"
