,age,league_123,division,location
12#1Gold,12,1,Gold,Rancho Cordova Event Center
12#1Silver,12,1,Silver,Skylane Facility
12#1Bronze,12,1,Bronze,NB CourtsSite Updated 2/14
12#2Gold,12,2,Gold,West HS
12#2Silver,12,2,Silver,Florin HS
12#2Bronze,12,2,Bronze,El Molino HSSite Updated 3/7
12#3Gold,12,3,Gold,Sonoma State University
12#3Silver,12,3,Silver,Windsor HS
12#3Bronze,12,3,Bronze,Pleasant Grove HS
13#1Silver,13,1,Silver,Edison HS
13#1Gold,13,1,Gold,Mare Island Sports Complex
13#1Bronze,13,1,Bronze,Livingston HS
13#1Aqua,13,1,Aqua,Solano Community College
13#1Blue,13,1,Blue,Rancho Cordova Event Center
13#1Copper,13,1,Copper,Los Medanos College
13#1Dusk,13,1,Dusk,Edison HS
13#2Gold,13,2,Gold,Gunn HS - Bow Gym
13#2Silver,13,2,Silver,Mare Island Sports Complex
13#2Bronze,13,2,Bronze,Sonoma State University
13#2Blue,13,2,Blue,Gunn HS - Titan Gym
13#2Copper,13,2,Copper,Rancho Cordova Event Center
13#2Aqua,13,2,Aqua,Cabrillo College
13#2Dusk,13,2,Dusk,Heritage HS
13#3Gold,13,3,Gold,Edison HS
13#3Silver,13,3,Silver,NB Courts
13#3Bronze,13,3,Bronze,El Camino HS
13#3Blue,13,3,Blue,Dougherty Valley HS
13#3Copper,13,3,Copper,Dougherty Valley HS
13#3Aqua,13,3,Aqua,Livingston HS
13#3Dusk,13,3,Dusk,NB Courts
14#1Gold,14,1,Gold,Rancho Cordova Event Center
14#1Silver,14,1,Silver,Clovis HS
14#1Bronze,14,1,Bronze,West HS
14#1Aqua,14,1,Aqua,NB Courts
14#1Blue,14,1,Blue,Edison HS
14#1Copper,14,1,Copper,Solano Community College
14#1Dusk,14,1,Dusk,Monte Vista HS
14#1Evergreen,14,1,Evergreen,Sonoma State Univ
14#1Fuchsia,14,1,Fuchsia,Sonoma State Univ
14#2Silver,14,2,Silver,Woodside HS
14#2Gold,14,2,Gold,San Jose State University
14#2Bronze,14,2,Bronze,Florin HS
14#2Blue,14,2,Blue,Monte Vista HS
14#2Aqua,14,2,Aqua,Rancho Cordova Event Center
14#2Copper,14,2,Copper,North Salinas HS
14#2Evergreen,14,2,Evergreen,Analy HS
