,site,site_address
Alameda County Fairgrounds,Alameda County Fairgrounds,"4501 Pleasanton Avenue Pleasanton, CA 94566"
Alameda High School,Alameda High School,"2201 Encinal Avenue, Alameda, CA 94501"
Alisal High School,Alisal High School,"777 Williams Rd, Salinas, CA 93905"
Alden Oliver Sports Park of Hayward,Alden Oliver Sports Park of Hayward,"2580 Eden Park Place, Hayward, CA 94545"
Alhambra High School,Alhambra High School,"150 E Street, Martinez, CA 94553"
Alta Sierra Middle School,Alta Sierra Middle School,"380 W Teague, Clovis, CA 93619"
Antioch High School,Antioch High School,"700 West 18th Street, Antioch, CA 94509"
Anzar High School,Anzar High School,"2000 San Juan Hwy, San Juan Bautista, CA 95045"
Aptos High School,Aptos High School,"7301 Freedom Blvd., Aptos, CA 95003"
Archbishop Mitty High School,Archbishop Mitty High School,"5000 Mitty Way, San Jose, CA 95129"
Balboa High School,Balboa High School,"1000 Cayuga Avenue, San Francisco, CA 94112"
BAVC Facility,BAVC Facility,"1950 Olivera Rd, Suite One, Concord, CA 94520"
Bear River High School,Bear River High School,"11130 Magnolia Road, Grass Valley, CA 95949"
Bella Vista High School,Bella Vista High School,"8301 Madison Avenue, Fair Oaks, CA 95628"
Bishop Manogue Catholic High School,Bishop Manogue Catholic High School,"110 Bishop Manogue Drive, Reno NV 89511"
Bret Harte High School,Bret Harte High School,"364 Murphys Grade Road, Angels Camp, CA 95221"
Buchanan High School,Buchanan High School,"1560 N. Minnewawa Clovis, CA 93619"
Buhach Colony High School,Buhach Colony High School,"1800 Buhach Rd, Atwater, CA 95301"
Bullard High School,Bullard High School,"5445 N. Palm Avenue, Fresno, CA 93704"
Cabrillo College,Cabrillo College,"6500 Soquel Drive, Aptos, CA 95003"
California Exposition & State Fair – Cal Expo,California Exposition & State Fair – Cal Expo,"1600 Exposition Blvd., Sacramento, CA 95815"
Capuchino High School,Capuchino High School,"1501 Magnolia Drive, San Bruno, CA 94066"
Castro Valley High School,Castro Valley High School,"19400 Santa Maria, Castro Valley, CA 94546"
Cesar Chavez Middle School,Cesar Chavez Middle School,"161 Plainsburg Road, Planada, CA 95365"
Cesar Chavez Middle School (Watsonville),Cesar Chavez Middle School (Watsonville),"440 Arthur Road, Watsonville, CA 95076"
Chowchilla High School,Chowchilla High School,"805 Humboldt Ave, Chowchilla, CA 93610"
Christopher High School,Christopher High School,"850 Day Road, Gilroy, CA 95020"
City Beach Facility – Santa Clara ,City Beach Facility – Santa Clara ,"2911 Mead Ave Santa Clara, CA 95051"
Clark Intermediate School,Clark Intermediate School,"902 5th Street, Clovis, CA 93612"
Clarke Dominguez Gym,Clarke Dominguez Gym,"5035 Meyers Street, Rocklin, CA 95677"
Clovis High School,Clovis High School,"1055 Fowler Avenue, Clovis, CA 93611"
Clovis East High School,Clovis East High School,"2940 Leonard Avenue, Clovis, CA 93619"
Clovis North High School,Clovis North High School,"2770 E. International, Fresno, CA 93730"
Clovis West High School,Clovis West High School,"1070 E. Teague Avenue, Fresno, CA 93720"
College of Alameda,College of Alameda,"555 Ralph Appezzato Mem Pkwy, Alameda, CA 94501"
Core Performance,Core Performance,"6270 Houston Place Dublin, CA 94568"
Cosumnes Oaks High School,Cosumnes Oaks High School,"9850 Lotz Parkway, Elk Grove, CA 95757"
